Neighborhood,Sector #,Population (2010),Total # Units (2000),Total # Units (2010),% Occupied Units (2010),% Vacant Units (2010),# Occupied Units (2010),% Owner Occupied Units (2010),% Renter Occupied Units (2010),Est. Avg. Yrs. of Residence (2010),% Living in Household (2010),% Living in Group Quarters (2010),% Units Built 00-09,% Units Built 90-99,% Units Built 80-89,% Units Built 60-79,% Units Built 40-59,% Units Built before 1939,Median Home Value (2000),Med. Val. ('00 in '10 Dollars),Median Home Value (2010),% Change Real Value 2000-2010,Median Sale Price (2010),# Sales Counted (2010),Foreclosures (2008),Foreclosures (2010),% of all Housing Units Foreclosed (2010)
Bluff,15,"6,600",0721-10-14T00:00:00,0388-10-14T00:00:00,72.7%,27.3%,0293-10-14T00:00:00,37.2%,62.8%,0,7.2%,92.8%,0.0%,1.4%,5.4%,14.0%,14.7%,64.5%,"$40,600","$51,412","$21,200",-58.8%,"$50,000",40,0,1,0.3%
Bon Air,6,808,0404-10-14T00:00:00,0387-10-14T00:00:00,94.1%,5.9%,0423-10-14T00:00:00,84.9%,15.1%,15,100.0%,0.0%,0.0%,2.8%,4.6%,2.8%,55.2%,34.6%,"$63,300","$80,157","$69,500",-13.3%,"$65,000",7,2,4,1.0%
Brighton Heights,2,"7,247",0664-03-14T00:00:00,0615-03-14T00:00:00,90.2%,9.8%,0645-03-14T00:00:00,65.7%,34.3%,5,100.0%,0.0%,0.3%,3.7%,9.1%,5.0%,20.3%,61.6%,"$68,733","$87,037","$81,433",-6.4%,"$67,000",163,55,35,1.0%
Brookline,5,"13,214",0349-06-14T00:00:00,0364-06-14T00:00:00,93.5%,6.5%,0183-06-14T00:00:00,74.5%,25.5%,9,100.0%,0.0%,0.6%,0.5%,3.5%,12.2%,45.9%,37.4%,"$67,175","$85,064","$82,150",-3.4%,"$75,000",251,78,62,1.0%
California-Kirkbride,3,761,0450-10-14T00:00:00,0393-10-14T00:00:00,79.4%,20.6%,0268-10-14T00:00:00,44.0%,56.0%,5,95.1%,4.9%,5.6%,8.3%,0.0%,6.5%,19.5%,60.2%,"$32,000","$40,522","$113,200",179.4%,"$9,600",38,4,2,0.5%
Carrick,5,"10,113",0114-05-14T00:00:00,2041-05-14T00:00:00,88.2%,11.8%,0772-04-14T00:00:00,68.4%,31.6%,8,99.0%,1.0%,0.5%,0.7%,2.4%,12.6%,26.8%,56.9%,"$53,233","$67,409","$66,900",-0.8%,"$40,250",150,68,49,1.0%
Central Business District,16,"3,629",0623-01-14T00:00:00,0342-02-14T00:00:00,81.4%,18.6%,0627-01-14T00:00:00,24.0%,76.0%,0,72.7%,27.3%,4.2%,1.8%,3.9%,39.5%,14.8%,35.8%,"$59,400","$75,218","$125,800",67.2%,"$240,000",99,1,6,0.3%
Central Lawrenceville,13,"4,482",0904-02-14T00:00:00,0670-02-14T00:00:00,85.9%,14.1%,0388-02-14T00:00:00,49.2%,50.8%,6,95.5%,4.5%,0.5%,1.4%,2.0%,5.5%,14.2%,76.4%,"$41,950","$53,121","$66,850",25.8%,"$67,500",107,11,11,0.4%
Central Northside,3,"2,923",0992-01-14T00:00:00,0971-01-14T00:00:00,80.5%,19.5%,0522-01-14T00:00:00,43.8%,56.2%,4,97.0%,3.0%,0.0%,1.5%,1.5%,8.9%,15.1%,73.0%,"$63,550","$80,473","$124,300",54.5%,"$59,247",117,16,14,0.7%
Central Oakland,14,"6,086",0555-02-14T00:00:00,0531-02-14T00:00:00,94.2%,5.8%,0970-01-14T00:00:00,13.8%,86.2%,0,93.3%,6.7%,0.3%,2.1%,8.3%,26.2%,17.6%,45.3%,"$62,100","$78,637","$144,350",83.6%,"$104,940",22,1,1,0.0%
Chartiers City,4,477,0238-10-14T00:00:00,0236-10-14T00:00:00,90.3%,9.7%,0193-10-14T00:00:00,90.2%,9.8%,32,100.0%,0.0%,0.0%,0.0%,0.0%,26.9%,34.5%,38.7%,"$63,200","$80,030","$76,700",-4.2%,"$70,900",5,7,4,1.7%
Chateau,3,11,2015-10-29T00:00:00,2015-10-04T00:00:00,100.0%,0.0%,2015-10-28T00:00:00,0.0%,100.0%,0,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,N/A,N/A,N/A,"$250,000",1,9,0,0.0%
Crafton Heights,4,"3,814",0819-01-14T00:00:00,0836-01-14T00:00:00,88.5%,11.5%,0634-01-14T00:00:00,62.8%,37.2%,7,100.0%,0.0%,0.0%,1.3%,5.0%,23.4%,29.6%,40.7%,"$64,450","$81,613","$76,650",-6.1%,"$40,000",60,29,18,1.0%
Crawford-Roberts,15,"2,256",0540-01-14T00:00:00,0270-01-14T00:00:00,90.9%,9.1%,0230-01-14T00:00:00,24.5%,75.5%,3,100.0%,0.0%,8.5%,29.0%,7.3%,22.4%,7.8%,25.0%,"$70,800","$89,654","$94,600",5.5%,"$11,500",28,1,2,0.2%
Duquesne Heights,6,"2,425",0417-01-14T00:00:00,0393-01-14T00:00:00,88.7%,11.3%,0287-01-14T00:00:00,55.9%,44.1%,5,100.0%,0.0%,0.8%,0.5%,15.9%,15.3%,27.8%,39.8%,"$66,200","$83,829","$100,500",19.9%,"$90,610",50,5,8,0.6%
East Allegheny,3,"2,136",0735-01-14T00:00:00,0577-01-14T00:00:00,79.4%,20.6%,0355-01-14T00:00:00,41.5%,58.5%,4,100.0%,0.0%,0.8%,1.4%,2.7%,6.1%,17.7%,71.3%,"$36,700","$46,473","$77,100",65.9%,"$51,688",78,6,4,0.3%
East Carnegie,4,570,0193-10-14T00:00:00,0251-10-14T00:00:00,89.2%,10.8%,0114-10-14T00:00:00,71.9%,28.1%,30,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,30.2%,69.8%,"$54,400","$68,887","$63,500",-7.8%,"$48,250",16,1,2,0.8%
East Hills,11,"3,169",0890-01-14T00:00:00,0522-01-14T00:00:00,86.6%,13.4%,0205-01-14T00:00:00,50.9%,49.1%,9,100.0%,0.0%,5.3%,8.9%,0.6%,39.5%,30.2%,15.5%,"$50,900","$64,455","$40,700",-36.9%,"$11,358",30,17,9,0.6%
East Liberty,12,"5,869",2062-04-14T00:00:00,0519-03-14T00:00:00,86.8%,13.2%,0114-03-14T00:00:00,21.5%,78.5%,3,94.2%,5.8%,5.2%,6.0%,6.0%,26.2%,13.4%,43.2%,"$51,400","$65,088","$64,650",-0.7%,"$79,250",78,17,10,0.3%
Elliott,4,"2,381",0415-01-14T00:00:00,0270-01-14T00:00:00,80.9%,19.1%,0987-10-14T00:00:00,61.4%,38.6%,10,100.0%,0.0%,0.7%,5.6%,3.6%,9.1%,15.2%,65.9%,"$46,100","$58,376","$51,300",-12.1%,"$7,031",59,23,30,2.4%
Esplen,4,301,0231-10-14T00:00:00,0166-10-14T00:00:00,78.9%,21.1%,0137-10-14T00:00:00,62.8%,37.2%,7,100.0%,0.0%,0.0%,0.0%,4.0%,3.3%,9.1%,83.6%,"$31,000","$39,255","$51,400",30.9%,"$7,750",4,6,0,0.0%
Fairywood,4,"1,002",0644-10-14T00:00:00,0540-10-14T00:00:00,86.1%,13.9%,0153-10-14T00:00:00,46.4%,53.6%,3,100.0%,0.0%,0.0%,7.4%,3.3%,32.6%,32.2%,24.4%,"$47,000","$59,516","$72,800",22.3%,"$319,980",8,1,1,0.2%
Fineview,3,"1,285",0856-10-14T00:00:00,0760-10-14T00:00:00,80.5%,19.5%,0672-10-14T00:00:00,55.1%,44.9%,5,100.0%,0.0%,0.0%,5.7%,2.9%,15.7%,33.1%,42.6%,"$39,400","$49,892","$58,900",18.1%,"$16,000",23,4,5,0.7%
Friendship,12,"1,785",0180-01-14T00:00:00,0163-01-14T00:00:00,92.1%,7.9%,2015-01-12T00:00:00,13.9%,86.1%,0,100.0%,0.0%,3.6%,0.3%,2.3%,5.5%,25.4%,62.8%,"$115,600","$146,384","$167,300",14.3%,"$197,950",18,3,5,0.4%
Garfield,12,"3,675",0581-02-14T00:00:00,0971-01-14T00:00:00,76.9%,23.1%,0743-01-14T00:00:00,46.7%,53.3%,5,100.0%,0.0%,6.1%,3.5%,4.8%,4.0%,24.6%,57.0%,"$34,033","$43,096","$60,300",39.9%,"$7,839",93,21,15,0.8%
Glen Hazel,9,716,0287-10-14T00:00:00,0249-10-14T00:00:00,94.8%,5.2%,0266-10-14T00:00:00,8.3%,91.7%,5,69.7%,30.3%,0.0%,4.9%,16.1%,31.8%,25.2%,22.0%,N/A,N/A,N/A,N/A,"$50,000",4,0,1,0.4%
Greenfield,9,"7,294",0873-03-14T00:00:00,0805-03-14T00:00:00,91.4%,8.6%,0728-03-14T00:00:00,66.4%,33.6%,6,100.0%,0.0%,2.3%,1.2%,1.9%,4.0%,27.9%,62.7%,"$65,800","$83,323","$90,900",9.1%,"$118,250",160,23,18,0.5%
Hays,8,362,0228-10-14T00:00:00,0203-10-14T00:00:00,81.8%,18.2%,0214-10-14T00:00:00,79.4%,20.6%,8,100.0%,0.0%,0.0%,3.3%,0.0%,0.0%,8.2%,88.5%,"$38,500","$48,753","$50,800",4.2%,"$10,100",7,1,1,0.5%
Hazelwood,9,"4,317",0746-02-14T00:00:00,0361-02-14T00:00:00,79.8%,20.2%,0919-01-14T00:00:00,50.6%,49.4%,7,100.0%,0.0%,2.2%,1.2%,7.6%,16.6%,23.1%,49.3%,"$38,700","$49,006","$65,550",33.8%,"$5,500",117,28,21,0.9%
Highland Park,12,"6,395",0396-03-14T00:00:00,0272-03-14T00:00:00,91.7%,8.3%,0259-03-14T00:00:00,53.6%,46.4%,4,98.7%,1.3%,0.0%,1.0%,0.8%,11.6%,21.8%,64.9%,"$99,900","$126,503","$167,400",32.3%,"$159,000",83,18,12,0.4%
Homewood North,11,"3,280",0171-02-14T00:00:00,0807-01-14T00:00:00,71.6%,28.4%,0515-01-14T00:00:00,40.7%,59.3%,6,100.0%,0.0%,1.0%,0.0%,2.5%,9.8%,23.3%,63.4%,"$37,900","$47,993","$35,450",-26.1%,"$6,991",51,12,13,0.7%
Homewood South,11,"2,344",2047-02-14T00:00:00,0507-01-14T00:00:00,71.6%,28.4%,1987-01-14T00:00:00,45.6%,54.4%,7,100.0%,0.0%,0.7%,2.5%,3.0%,10.1%,16.6%,67.1%,"$33,800","$42,801","$48,400",13.1%,"$7,000",107,15,10,0.7%
Homewood West,11,818,0583-10-14T00:00:00,0532-10-14T00:00:00,77.8%,22.2%,0444-10-14T00:00:00,28.6%,71.4%,4,100.0%,0.0%,20.2%,0.0%,0.0%,12.9%,14.7%,52.1%,"$38,400","$48,626","$34,500",-29.1%,"$6,029",66,6,1,0.2%
Knoxville,6,"3,747",0923-01-14T00:00:00,0857-01-14T00:00:00,78.6%,21.4%,0453-01-14T00:00:00,65.8%,34.2%,8,100.0%,0.0%,2.5%,0.0%,0.0%,5.3%,18.5%,73.7%,"$36,000","$45,587","$39,900",-12.5%,"$10,634",50,36,19,1.0%
Larimer,12,"1,728",0428-01-14T00:00:00,0892-10-14T00:00:00,74.2%,25.8%,0644-10-14T00:00:00,53.1%,46.9%,12,92.2%,7.8%,13.0%,5.1%,0.0%,11.6%,9.7%,60.6%,"$40,250","$50,969","$34,850",-31.6%,"$4,755",120,10,10,1.1%
Lincoln Place,8,"3,227",0619-01-14T00:00:00,0569-01-14T00:00:00,92.7%,7.3%,0586-01-14T00:00:00,88.3%,11.7%,15,100.0%,0.0%,1.0%,0.0%,1.8%,16.7%,43.7%,36.8%,"$65,300","$82,689","$77,700",-6.0%,"$55,000",59,18,13,0.8%
Lincoln-Lemington-Belmar,11,"4,883",0319-02-14T00:00:00,0551-02-14T00:00:00,79.7%,20.3%,0778-01-14T00:00:00,63.6%,36.4%,7,81.0%,19.0%,0.6%,2.8%,0.0%,13.0%,27.6%,55.9%,"$44,800","$56,730","$43,767",-22.9%,"$6,575",36,15,20,0.8%
Lower Lawrenceville,13,"2,341",0448-01-14T00:00:00,0386-01-14T00:00:00,85.1%,14.9%,0294-01-14T00:00:00,30.6%,69.4%,2,93.6%,6.4%,1.8%,1.2%,5.3%,21.6%,16.0%,54.0%,"$37,000","$46,853","$56,900",21.4%,"$65,000",63,9,11,0.8%
Manchester,3,"2,130",0348-01-14T00:00:00,0319-01-14T00:00:00,78.5%,21.5%,0821-10-14T00:00:00,56.3%,43.7%,5,100.0%,0.0%,2.1%,4.7%,9.2%,13.6%,18.8%,51.7%,"$71,900","$91,047","$101,300",11.3%,"$9,202",45,13,17,1.3%
Marshall-Shadeland,2,"6,043",0448-02-14T00:00:00,0253-02-14T00:00:00,81.1%,18.9%,0939-01-14T00:00:00,62.0%,38.0%,7,92.0%,8.0%,1.5%,0.0%,0.0%,3.4%,27.7%,67.5%,"$47,100","$59,643","$61,900",3.8%,"$13,500",101,37,37,1.6%
Middle Hill,15,"1,707",0334-01-14T00:00:00,0120-01-14T00:00:00,82.1%,17.9%,0967-10-14T00:00:00,44.3%,55.7%,4,100.0%,0.0%,16.5%,0.0%,4.5%,9.1%,7.8%,62.1%,"$30,200","$38,242","$72,800",90.4%,"$4,317",152,4,5,0.4%
Morningside,12,"3,346",0679-01-14T00:00:00,0643-01-14T00:00:00,92.9%,7.1%,0645-01-14T00:00:00,66.9%,33.1%,5,99.5%,0.5%,0.0%,0.0%,1.7%,3.9%,21.5%,72.8%,"$59,500","$75,345","$89,700",19.1%,"$83,250",48,9,8,0.5%
Mount Washington,6,"8,799",0251-05-14T00:00:00,0175-05-14T00:00:00,86.3%,13.7%,0681-04-14T00:00:00,50.2%,49.8%,4,100.0%,0.0%,2.0%,2.1%,4.0%,11.1%,23.3%,57.5%,"$55,450","$70,216","$78,175",11.3%,"$46,000",203,60,31,0.6%
Mt. Oliver,7,509,0246-10-14T00:00:00,0232-10-14T00:00:00,83.6%,16.4%,0213-10-14T00:00:00,67.6%,32.4%,12,100.0%,0.0%,0.0%,0.0%,0.0%,9.9%,32.9%,57.3%,"$39,200","$49,639","$56,700",14.2%,"$15,000",6,2,42,18.1%
New Homestead,8,990,0387-10-14T00:00:00,0429-10-14T00:00:00,93.9%,6.1%,0436-10-14T00:00:00,90.4%,9.6%,19,100.0%,0.0%,13.1%,3.2%,3.0%,38.1%,18.1%,24.5%,"$90,900","$115,107","$117,400",2.0%,"$100,000",11,3,3,0.7%
North Oakland,14,"10,551",2015-04-03T00:00:00,0761-03-14T00:00:00,94.5%,5.5%,0234-03-14T00:00:00,29.3%,70.7%,6,56.0%,44.0%,2.6%,1.7%,6.0%,22.8%,27.2%,39.7%,"$222,423","$281,654","$273,000",-3.1%,"$145,000",61,1,8,0.2%
North Shore,16,303,0251-10-14T00:00:00,0241-10-14T00:00:00,85.5%,14.5%,0183-10-14T00:00:00,0.0%,100.0%,0,100.0%,0.0%,17.0%,60.2%,5.8%,5.8%,11.2%,0.0%,"$20,000","$25,326",N/A,N/A,"$19,524,500",2,0,0,0.0%
Northview Heights,1,"1,214",0879-10-14T00:00:00,0723-10-14T00:00:00,63.6%,36.4%,0527-10-14T00:00:00,0.0%,100.0%,4,100.0%,0.0%,0.0%,10.5%,2.8%,55.5%,10.1%,21.1%,"$29,400","$37,229",N/A,N/A,"$30,903",2,0,1,0.1%
Oakwood,4,"1,027",0551-10-14T00:00:00,0571-10-14T00:00:00,95.4%,4.6%,0575-10-14T00:00:00,43.8%,56.2%,5,100.0%,0.0%,0.0%,3.5%,8.1%,22.6%,38.2%,27.6%,"$74,500","$94,339","$108,500",15.0%,"$105,000",9,0,0,0.0%
Overbrook,5,"3,644",0726-01-14T00:00:00,0706-01-14T00:00:00,92.9%,7.1%,0700-01-14T00:00:00,88.2%,11.8%,16,100.0%,0.0%,0.0%,0.0%,0.0%,8.9%,51.6%,39.4%,"$61,850","$78,321","$76,200",-2.7%,"$63,150",64,18,0,0.0%
Perry North,2,"4,050",0116-02-14T00:00:00,0929-01-14T00:00:00,87.0%,13.0%,0698-01-14T00:00:00,76.5%,23.5%,7,97.5%,2.5%,0.0%,0.7%,7.5%,12.0%,22.2%,57.6%,"$61,850","$78,321","$76,300",-2.6%,"$43,750",96,24,20,1.0%
Perry South,2,"4,145",0612-02-14T00:00:00,0361-02-14T00:00:00,76.5%,23.5%,0728-01-14T00:00:00,46.9%,53.1%,5,98.2%,1.8%,4.4%,1.5%,7.9%,16.0%,24.8%,45.4%,"$44,500","$56,350","$51,350",-8.9%,"$4,798",114,36,15,0.6%
Point Breeze,10,"5,315",0565-02-14T00:00:00,0483-02-14T00:00:00,95.1%,4.9%,0458-02-14T00:00:00,79.4%,20.6%,10,98.2%,1.8%,2.2%,0.5%,0.9%,7.2%,14.8%,74.4%,"$164,000","$207,673","$240,300",15.7%,"$242,500",78,6,27,1.1%
Point Breeze North,11,"2,054",0208-01-14T00:00:00,0167-01-14T00:00:00,89.0%,11.0%,0909-10-14T00:00:00,39.5%,60.5%,3,100.0%,0.0%,0.0%,1.6%,5.0%,4.8%,23.4%,65.1%,"$83,200","$105,356","$99,500",-5.6%,"$57,250",24,7,5,0.4%
Polish Hill,13,"1,274",0928-10-14T00:00:00,0849-10-14T00:00:00,82.1%,17.9%,0715-10-14T00:00:00,55.7%,44.3%,8,100.0%,0.0%,0.0%,4.6%,13.2%,1.2%,16.2%,64.8%,"$40,500","$51,285","$62,700",22.3%,"$19,900",37,1,3,0.4%
Regent Square,10,928,0562-10-14T00:00:00,0479-10-14T00:00:00,95.2%,4.8%,0540-10-14T00:00:00,75.6%,24.4%,8,100.0%,0.0%,0.0%,0.0%,0.0%,9.9%,9.1%,80.9%,"$113,000","$143,092","$196,300",37.2%,"$224,900",17,1,2,0.4%
Ridgemont,4,483,0233-10-14T00:00:00,0218-10-14T00:00:00,95.9%,4.1%,0257-10-14T00:00:00,76.3%,23.7%,13,100.0%,0.0%,0.0%,0.0%,0.0%,10.8%,74.4%,14.8%,"$70,300","$89,021","$90,500",1.7%,"$52,000",9,5,0,0.0%
Shadyside,12,"13,915",0451-08-14T00:00:00,0610-08-14T00:00:00,93.3%,6.7%,0185-08-14T00:00:00,29.5%,70.5%,0,95.6%,4.4%,2.3%,3.6%,9.0%,23.6%,20.1%,41.5%,"$153,560","$194,453","$264,860",36.2%,"$247,000",204,8,2,0.0%
Sheraden,4,"5,299",0621-02-14T00:00:00,0509-02-14T00:00:00,85.0%,15.0%,0237-02-14T00:00:00,64.8%,35.2%,7,100.0%,0.0%,1.5%,2.0%,4.9%,11.5%,19.1%,61.1%,"$50,500","$63,948","$61,600",-3.7%,"$11,500",115,69,12,0.5%
South Oakland,14,"2,969",0558-01-14T00:00:00,0469-01-14T00:00:00,89.9%,10.1%,0134-01-14T00:00:00,43.3%,56.7%,4,96.0%,4.0%,2.0%,0.5%,10.4%,6.9%,13.4%,66.8%,"$47,700","$60,403","$77,200",27.8%,"$93,000",51,10,34,2.3%
South Shore,16,19,2040-10-14T00:00:00,2015-10-15T00:00:00,66.7%,33.3%,2015-10-18T00:00:00,0.0%,100.0%,16,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,N/A,N/A,N/A,$200,1,0,5,33.3%
South Side Flats,7,"6,597",0613-03-14T00:00:00,0326-04-14T00:00:00,87.3%,12.7%,0921-03-14T00:00:00,43.3%,56.7%,2,100.0%,0.0%,15.3%,1.9%,1.0%,3.8%,12.3%,65.7%,"$77,100","$97,632","$153,750",57.5%,"$174,500",158,18,0,0.0%
South Side Slopes,7,"4,423",0580-02-14T00:00:00,0552-02-14T00:00:00,83.5%,16.5%,0218-02-14T00:00:00,61.2%,38.8%,6,100.0%,0.0%,2.5%,1.1%,1.7%,4.6%,9.5%,80.6%,"$43,700","$55,337","$73,050",32.0%,"$47,700",113,20,9,0.4%
Spring Garden,1,884,0621-10-14T00:00:00,0552-10-14T00:00:00,74.6%,25.4%,0608-10-14T00:00:00,51.3%,48.7%,7,100.0%,0.0%,0.0%,1.8%,16.5%,0.0%,23.7%,58.1%,"$29,800","$37,736","$48,000",27.2%,"$8,252",24,7,18,3.3%
Spring Hill-City View,1,"2,648",0392-01-14T00:00:00,0326-01-14T00:00:00,87.5%,12.5%,0191-01-14T00:00:00,49.7%,50.3%,5,95.6%,4.4%,0.0%,0.0%,8.4%,17.3%,32.9%,41.4%,"$43,700","$55,337","$58,900",6.4%,"$11,750",42,14,7,0.5%
Squirrel Hill North,10,"11,363",0969-03-14T00:00:00,0892-03-14T00:00:00,93.0%,7.0%,0889-03-14T00:00:00,59.2%,40.8%,6,70.5%,29.5%,1.8%,1.0%,5.5%,12.2%,25.6%,53.9%,"$254,667","$322,485","$344,900",7.0%,"$337,500",103,6,9,0.2%
Squirrel Hill South,10,"15,110",1969-07-14T00:00:00,0514-07-14T00:00:00,94.6%,5.4%,0135-07-14T00:00:00,45.6%,54.4%,3,95.9%,4.1%,2.1%,1.8%,5.0%,15.1%,26.7%,49.3%,"$134,633","$170,486","$201,400",18.1%,"$218,250",176,12,2,0.0%
St. Clair,7,209,0768-10-14T00:00:00,0165-10-14T00:00:00,50.3%,49.7%,0328-10-14T00:00:00,44.5%,55.5%,9,100.0%,0.0%,0.0%,0.0%,0.0%,11.3%,54.9%,33.8%,"$45,000","$56,984","$41,100",-27.9%,"$23,000",5,1,18,10.9%
Stanton Heights,13,"4,601",0142-02-14T00:00:00,0223-02-14T00:00:00,94.3%,5.7%,0115-02-14T00:00:00,81.9%,18.1%,10,100.0%,0.0%,1.0%,1.1%,0.6%,10.2%,55.8%,31.3%,"$66,750","$84,526","$86,700",2.6%,"$80,710",78,24,1,0.0%
Strip District,13,616,0195-10-14T00:00:00,0473-10-14T00:00:00,85.2%,14.8%,0254-10-14T00:00:00,37.0%,63.0%,0,100.0%,0.0%,0.0%,0.0%,5.2%,12.9%,4.5%,77.4%,"$215,900","$273,394","$161,800",-40.8%,"$250,000",17,0,20,4.2%
Summer Hill,1,"1,051",0551-10-14T00:00:00,0510-10-14T00:00:00,94.3%,5.7%,0539-10-14T00:00:00,64.7%,35.3%,5,100.0%,0.0%,0.0%,3.9%,0.0%,23.4%,32.5%,40.3%,"$76,100","$96,365","$94,400",-2.0%,"$67,500",21,6,0,0.0%
Swisshelm Park,10,"1,361",0627-10-14T00:00:00,0625-10-14T00:00:00,96.3%,3.7%,0608-10-14T00:00:00,87.0%,13.0%,12,100.0%,0.0%,0.0%,0.0%,0.0%,16.4%,35.0%,48.6%,"$82,000","$103,837","$108,600",4.6%,"$124,000",19,2,2,0.3%
Terrace Village,15,"3,228",1974-02-14T00:00:00,0509-01-14T00:00:00,83.9%,16.1%,0286-01-14T00:00:00,3.1%,96.9%,0,63.4%,36.6%,23.8%,19.8%,1.2%,22.6%,21.1%,11.5%,"$54,500","$69,013","$59,300",-14.1%,"$4,658",9,2,1,0.1%
Troy Hill,1,"2,714",0415-01-14T00:00:00,0608-01-14T00:00:00,83.9%,16.1%,0335-01-14T00:00:00,55.7%,44.3%,3,100.0%,0.0%,0.3%,5.1%,0.0%,0.4%,6.4%,87.8%,"$43,400","$54,957","$52,600",-4.3%,"$24,900",63,13,2,0.1%
Upper Hill,15,"2,057",0171-01-14T00:00:00,0240-01-14T00:00:00,81.9%,18.1%,0924-10-14T00:00:00,75.4%,24.6%,10,100.0%,0.0%,0.9%,0.7%,3.1%,7.8%,13.9%,73.6%,"$39,400","$49,892","$66,300",32.9%,"$8,003",52,9,11,0.9%
Upper Lawrenceville,13,"2,669",0504-01-14T00:00:00,0442-01-14T00:00:00,81.0%,19.0%,0183-01-14T00:00:00,60.6%,39.4%,5,100.0%,0.0%,1.1%,0.6%,0.4%,8.0%,10.2%,79.6%,"$35,900","$45,460","$48,700",7.1%,"$38,000",65,14,7,0.5%
West End,4,254,0211-10-14T00:00:00,0165-10-14T00:00:00,74.5%,25.5%,2062-10-14T00:00:00,33.9%,66.1%,4,100.0%,0.0%,0.0%,0.0%,0.0%,9.5%,17.2%,73.3%,"$26,800","$33,937","$29,800",-12.2%,"$14,383",10,2,8,4.8%
